topics,topn,ranker,model,epoch,rouge,bleu,bleu_list,exact_match,f1,elapsed_time
all,topn1,bm25,seq2seq,100,1.731681603892965,0.2870496675589867,"0.907166616268247,0.24103079633484517,1.2547292305837255e-06,2.9036239837347725e-09",0.0,1.7646516350029635,5025.347238063812
all,topn1,bm25,acg,100,26.14015799424148,10.001672658323232,"16.90087991011649,11.34689160786037,7.421274958573683,4.3376441567423845",1.6304347826086956,28.05694938139557,9410.947685718536
all,topn1,bm25,hredqs,100,2.0597355784407494,0.6291809360948318,"1.6848033786524386,0.5529295492195991,0.27895422254318814,3.6593964101795326e-05",0.0,2.0665545153783818,1851.5796210765839
all,topn1,qld,seq2seq,100,1.9894801682510024,0.6515836786976715,"1.7289907519092362,0.6148203800085954,0.2624924045986216,3.117827423248604e-05",0.0,2.050450308533347,1907.5795781612399
all,topn1,qld,acg,100,23.487167004155783,7.722150563938731,"14.975041597331543,8.526486572554292,4.825292708717682,2.5617813771514055",1.5,25.642061997481896,3283.179370164871
all,topn1,qld,hredqs,100,1.890887781923705,0.7842147267919475,"1.8745625662805256,0.8273499757578063,0.4348975012319809,4.886389747664717e-05",0.0,1.89587861661134,1551.9182269573212
all,topn100,bm25,seq2seq,100,35.940009914722204,19.94144075169875,"28.87815351583209,21.226419118117786,16.57222226407156,13.088968108773566",9.962406015037594,37.85460474932026,20875.040138244633
all,topn100,bm25,acg,100,42.942755028021494,23.976448615001196,"33.56215911227821,25.65671874699652,20.43438403146985,16.252532569260193",13.62781954887218,44.778592137807806,60961.87175607682
all,topn100,bm25,hredqs,100,48.74231316477415,28.802684060223342,"38.29698840239241,30.724009289801657,25.403872666644723,20.785865882054548",21.52255639097744,51.024143186770786,15155.851294040682
all,topn100,qld,seq2seq,100,39.947554380530356,21.227567631205584,"30.873493975900512,22.7246377710857,17.581762435892447,13.730376341943689",12.875939849624062,41.883530097226995,13205.867016792296
all,topn100,qld,acg,100,45.11335441446578,25.703156416027703,"36.43025702309657,27.700088000703122,21.662297110558892,17.019983529752217",16.917293233082706,46.94238580067518,22831.207912921906
all,topn100,qld,hredqs,100,52.17237399087139,30.637638347542985,"40.64873654298213,32.68303691042141,27.032781682476724,22.18599825429169",24.060150375939852,54.59162722024368,10448.991486310959
all,topn5,bm25,seq2seq,100,34.710652907295426,12.949622602155749,"18.674909599904506,13.902154334519523,10.786318271676612,8.43510820252236",13.90625,35.9940187991709,9339.37924337387
all,topn5,bm25,acg,100,45.52318208483289,19.83304298394178,"27.359872187454748,21.259105571040323,17.073941193732818,13.639252983539244",21.875,47.18462427568552,41904.04387831688
all,topn5,bm25,hredqs,100,52.35397748527818,32.189357725182035,"41.78279031885664,33.91986002322846,28.72923705545626,24.325543503186754",27.500000000000004,54.358677951415174,8337.824022769928
all,topn5,qld,seq2seq,100,33.21695987070855,16.03865654424979,"23.81670183900756,17.066609181270223,13.112772367428285,10.158542789293087",13.141025641025644,35.033980008337345,12001.200258493423
all,topn5,qld,acg,100,42.9282003668379,25.12239737310509,"34.6555543665896,26.65378502201476,21.539673830192164,17.640576273623843",19.871794871794872,45.027644147829264,33597.80434060097
all,topn5,qld,hredqs,100,48.1743590730821,29.786343295866565,"40.848797368791054,31.486266814023388,25.712287609960683,21.098021390691134",21.9551282051282,51.18338632086139,8879.785374641418
